tid,competition_name,type,win,goals_against,goals_for,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
20,2015 NHL Regular Season,2,40.0,222.0,230.0,79,Boston Bruins,BOS,340,300,60.0,0.5063291139240507,2.911392405063291,2.810126582278481
20,2016 NHL Regular Season,2,44.5,215.0,238.0,82,Boston Bruins,BOS,343,323,62.0,0.5426829268292683,2.902439024390244,2.6219512195121952
20,2017 NHL Regular Season,2,51.0,217.0,274.0,82,Boston Bruins,BOS,308,319,72.0,0.6219512195121951,3.341463414634146,2.6463414634146343
21,2010 NHL Regular Season,2,43.5,225.0,227.0,78,Anaheim Ducks,ANA,401,378,92.0,0.5576923076923077,2.91025641025641,2.8846153846153846
21,2013 NHL Regular Season,2,53.0,217.0,272.0,81,Anaheim Ducks,ANA,353,363,67.0,0.654320987654321,3.3580246913580245,2.6790123456790123
21,2014 NHL Regular Season,2,50.5,225.0,241.0,80,Anaheim Ducks,ANA,339,306,39.0,0.63125,3.0125,2.8125
21,2015 NHL Regular Season,2,46.0,193.0,222.0,81,Anaheim Ducks,ANA,379,340,58.0,0.5679012345679012,2.740740740740741,2.382716049382716
21,2016 NHL Regular Season,2,46.0,210.0,233.0,82,Anaheim Ducks,ANA,367,337,51.0,0.5609756097560976,2.841463414634146,2.5609756097560976
21,2017 NHL Regular Season,2,43.0,213.0,234.0,78,Anaheim Ducks,ANA,317,260,39.0,0.5512820512820513,3.0,2.730769230769231
22,2010 NHL Regular Season,2,30.5,272.0,218.0,79,Colorado Avalanche,COL,390,338,61.0,0.3860759493670886,2.759493670886076,3.4430379746835444
22,2013 NHL Regular Season,2,52.0,209.0,249.0,80,Colorado Avalanche,COL,314,315,23.0,0.65,3.1125,2.6125
22,2014 NHL Regular Season,2,40.5,229.0,232.0,81,Colorado Avalanche,COL,295,309,15.0,0.5,2.8641975308641974,2.8271604938271606
22,2015 NHL Regular Season,2,38.5,238.0,215.0,81,Colorado Avalanche,COL,305,313,51.0,0.47530864197530864,2.654320987654321,2.9382716049382718
22,2016 NHL Regular Season,2,22.0,275.0,165.0,81,Colorado Avalanche,COL,327,290,36.0,0.2716049382716049,2.037037037037037,3.3950617283950617
22,2017 NHL Regular Season,2,42.0,228.0,251.0,80,Colorado Avalanche,COL,305,330,67.0,0.525,3.1375,2.85
25,2010 NHL Regular Season,2,44.0,243.0,245.0,81,Tampa Bay Lightning,TBL,375,397,43.0,0.5432098765432098,3.0246913580246915,3.0
25,2013 NHL Regular Season,2,46.5,218.0,244.0,81,Tampa Bay Lightning,TBL,332,335,40.0,0.5740740740740741,3.0123456790123457,2.691358024691358
25,2014 NHL Regular Season,2,48.0,211.0,256.0,80,Tampa Bay Lightning,TBL,318,349,56.0,0.6,3.2,2.6375
25,2015 NHL Regular Season,2,43.5,202.0,223.0,80,Tampa Bay Lightning,TBL,329,346,45.0,0.54375,2.7875,2.525
25,2016 NHL Regular Season,2,42.0,233.0,240.0,82,Tampa Bay Lightning,TBL,353,358,69.0,0.5121951219512195,2.926829268292683,2.841463414634146
25,2017 NHL Regular Season,2,54.0,226.0,293.0,80,Tampa Bay Lightning,TBL,319,322,72.0,0.675,3.6625,2.825
28,2010 NHL Regular Season,2,43.0,197.0,233.0,80,New York Rangers,NYR,362,398,71.0,0.5375,2.9125,2.4625
28,2013 NHL Regular Season,2,44.0,199.0,220.0,81,New York Rangers,NYR,318,353,64.0,0.5432098765432098,2.7160493827160495,2.45679012345679
28,2014 NHL Regular Season,2,53.0,195.0,255.0,81,New York Rangers,NYR,291,282,55.0,0.654320987654321,3.1481481481481484,2.4074074074074074
28,2015 NHL Regular Season,2,45.0,212.0,231.0,80,New York Rangers,NYR,296,275,57.0,0.5625,2.8875,2.65
28,2016 NHL Regular Season,2,48.0,221.0,258.0,81,New York Rangers,NYR,264,286,55.0,0.5925925925925926,3.185185185185185,2.728395061728395
