tid,competition_name,type,win,goals_against,goals_for,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
5,2015 NHL Playoff,3,6.0,22.0,28.0,12,Washington Capitals,WSH,54,66,22.0,0.5,2.3333333333333335,1.8333333333333333
5,2015 NHL Regular Season,2,54.5,186.0,245.0,78,Washington Capitals,WSH,304,303,67.0,0.6987179487179487,3.141025641025641,2.3846153846153846
5,2016 NHL Playoff,3,6.0,34.0,32.0,12,Washington Capitals,WSH,52,49,10.0,0.5,2.6666666666666665,2.8333333333333335
5,2016 NHL Regular Season,2,54.5,186.0,265.0,81,Washington Capitals,WSH,329,306,67.0,0.6728395061728395,3.271604938271605,2.2962962962962963
5,2017 NHL Playoff,3,16.0,61.0,86.0,24,Washington Capitals,WSH,95,97,22.0,0.6666666666666666,3.5833333333333335,2.5416666666666665
5,2017 NHL Regular Season,2,48.0,240.0,255.0,81,Washington Capitals,WSH,327,297,67.0,0.5925925925925926,3.1481481481481484,2.962962962962963
6,2010 NHL Playoff,3,3.0,16.0,22.0,7,Chicago Blackhawks,CHI,27,39,6.0,0.42857142857142855,3.142857142857143,2.2857142857142856
6,2010 NHL Regular Season,2,41.5,222.0,246.0,78,Chicago Blackhawks,CHI,296,310,93.0,0.532051282051282,3.1538461538461537,2.8461538461538463
6,2011 NHL Playoff,3,2.0,17.0,12.0,6,Chicago Blackhawks,CHI,24,23,1.0,0.3333333333333333,2.0,2.8333333333333335
6,2011 NHL Regular Season,2,24.0,120.0,133.0,40,Chicago Blackhawks,CHI,158,177,36.0,0.6,3.325,3.0
6,2012 NHL Playoff,3,16.0,48.0,64.0,23,Chicago Blackhawks,CHI,96,90,9.0,0.6956521739130435,2.782608695652174,2.0869565217391304
6,2012 NHL Regular Season,2,36.0,112.0,165.0,48,Chicago Blackhawks,CHI,185,192,38.0,0.75,3.4375,2.3333333333333335
6,2013 NHL Playoff,3,9.5,54.0,53.0,18,Chicago Blackhawks,CHI,70,62,12.0,0.5277777777777778,2.9444444444444446,3.0
6,2013 NHL Regular Season,2,46.5,231.0,278.0,82,Chicago Blackhawks,CHI,290,305,73.0,0.5670731707317073,3.3902439024390243,2.817073170731707
6,2014 NHL Playoff,3,16.0,60.0,69.0,23,Chicago Blackhawks,CHI,71,74,15.0,0.6956521739130435,3.0,2.608695652173913
6,2014 NHL Regular Season,2,46.5,189.0,232.0,80,Chicago Blackhawks,CHI,252,307,53.0,0.58125,2.9,2.3625
6,2015 NHL Playoff,3,3.0,19.0,20.0,7,Chicago Blackhawks,CHI,26,26,6.0,0.42857142857142855,2.857142857142857,2.7142857142857144
6,2015 NHL Regular Season,2,44.5,207.0,228.0,80,Chicago Blackhawks,CHI,267,297,61.0,0.55625,2.85,2.5875
6,2016 NHL Playoff,3,0.0,13.0,3.0,4,Chicago Blackhawks,CHI,11,10,2.0,0.0,0.75,3.25
6,2016 NHL Regular Season,2,50.0,215.0,248.0,82,Chicago Blackhawks,CHI,251,269,46.0,0.6097560975609756,3.024390243902439,2.6219512195121952
6,2017 NHL Regular Season,2,33.0,248.0,225.0,80,Chicago Blackhawks,CHI,268,303,49.0,0.4125,2.8125,3.1
7,2010 NHL Regular Season,2,34.5,230.0,237.0,77,St. Louis Blues,STL,387,384,39.0,0.44805194805194803,3.0779220779220777,2.987012987012987
7,2011 NHL Playoff,3,4.0,23.0,20.0,9,St. Louis Blues,STL,58,55,6.0,0.4444444444444444,2.2222222222222223,2.5555555555555554
7,2011 NHL Regular Season,2,23.0,90.0,104.0,40,St. Louis Blues,STL,186,181,26.0,0.575,2.6,2.25
7,2012 NHL Playoff,3,2.0,12.0,10.0,6,St. Louis Blues,STL,19,20,2.0,0.3333333333333333,1.6666666666666667,2.0
7,2012 NHL Regular Season,2,29.0,121.0,137.0,48,St. Louis Blues,STL,211,209,29.0,0.6041666666666666,2.8541666666666665,2.5208333333333335
7,2013 NHL Playoff,3,2.0,20.0,14.0,6,St. Louis Blues,STL,25,32,2.0,0.3333333333333333,2.3333333333333335,3.3333333333333335
7,2013 NHL Regular Season,2,52.0,200.0,260.0,82,St. Louis Blues,STL,401,394,81.0,0.6341463414634146,3.1707317073170733,2.4390243902439024
7,2014 NHL Playoff,3,2.0,17.0,14.0,6,St. Louis Blues,STL,16,13,2.0,0.3333333333333333,2.3333333333333335,2.8333333333333335
7,2014 NHL Regular Season,2,49.0,199.0,243.0,79,St. Louis Blues,STL,347,332,63.0,0.620253164556962,3.0759493670886076,2.518987341772152
7,2015 NHL Playoff,3,10.0,56.0,57.0,20,St. Louis Blues,STL,77,74,15.0,0.5,2.85,2.8
7,2015 NHL Regular Season,2,49.0,205.0,232.0,81,St. Louis Blues,STL,345,310,57.0,0.6049382716049383,2.8641975308641974,2.5308641975308643
7,2016 NHL Playoff,3,6.0,23.0,22.0,11,St. Louis Blues,STL,46,41,3.0,0.5454545454545454,2.0,2.090909090909091
7,2016 NHL Regular Season,2,46.0,217.0,236.0,81,St. Louis Blues,STL,311,289,56.0,0.5679012345679012,2.9135802469135803,2.6790123456790123
7,2017 NHL Regular Season,2,42.5,215.0,223.0,79,St. Louis Blues,STL,259,281,43.0,0.5379746835443038,2.8227848101265822,2.721518987341772
8,2010 NHL Playoff,3,3.0,22.0,14.0,7,Pittsburgh Penguins,PIT,33,40,4.0,0.42857142857142855,2.0,3.142857142857143
8,2010 NHL Regular Season,2,49.0,195.0,242.0,81,Pittsburgh Penguins,PIT,457,444,62.0,0.6049382716049383,2.9876543209876543,2.4074074074074074
8,2011 NHL Playoff,3,2.0,30.0,26.0,6,Pittsburgh Penguins,PIT,38,46,21.0,0.3333333333333333,4.333333333333333,5.0
8,2011 NHL Regular Season,2,20.0,104.0,123.0,38,Pittsburgh Penguins,PIT,176,190,40.0,0.5263157894736842,3.236842105263158,2.736842105263158
8,2012 NHL Playoff,3,8.0,40.0,49.0,15,Pittsburgh Penguins,PIT,75,85,13.0,0.5333333333333333,3.2666666666666666,2.6666666666666665
8,2012 NHL Regular Season,2,35.5,121.0,165.0,48,Pittsburgh Penguins,PIT,222,226,57.0,0.7395833333333334,3.4375,2.5208333333333335
8,2013 NHL Playoff,3,7.0,33.0,35.0,13,Pittsburgh Penguins,PIT,62,60,10.0,0.5384615384615384,2.6923076923076925,2.5384615384615383
8,2013 NHL Regular Season,2,49.0,202.0,241.0,80,Pittsburgh Penguins,PIT,333,356,79.0,0.6125,3.0125,2.525
8,2014 NHL Playoff,3,1.0,11.0,8.0,5,Pittsburgh Penguins,PIT,23,15,2.0,0.2,1.6,2.2
8,2014 NHL Regular Season,2,43.0,218.0,229.0,82,Pittsburgh Penguins,PIT,407,380,54.0,0.524390243902439,2.792682926829268,2.658536585365854
8,2015 NHL Playoff,3,16.0,54.0,73.0,24,Pittsburgh Penguins,PIT,84,94,6.0,0.6666666666666666,3.0416666666666665,2.25
